grant_id,title,publicurl
RFA-AI-22-020, Development and Optimization of Next-Generation Immunological Assays to Support Influenza Clinical Studies and Trials,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-22-020.html
NOT-MD-23-008, Research to Address Vaccine Uptake and Implementation among Populations Experiencing Health Disparities,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-23-008.html
RFA-AI-19-011,Computational Models of Immunity,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-19-011.html
RFA-AI-20-003,Partnerships for the Development of Universal Influenza Vaccines,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-20-003.html
RFA-AI-20-055,Understanding Evolutionary Dynamics of Influenza to Inform and Improve Vaccine Strain Selection,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-20-055.html
RFA-AI-20-060,"Cohort Studies To Improve Our Understanding of Influenza Immunity, Vaccine Response and Effectiveness in Older Adults",https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-20-060.html
RFA-AI-23-020,"Research and Development of Vaccines and Monoclonal Antibodies for Pandemic Preparedness (ReVAMPP) Centers for Bunyavirales, Paramyxoviridae and Picornaviridae",https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-020.html
RFA-AI-23-021,Research and Development of Vaccines and Monoclonal Antibodies for Pandemic Preparedness (ReVAMPP) Network - Coordination and Data Sharing Center,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-021.html
RFA-AI-23-056,Computational Models of Influenza Immunity,https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-056.html
RFA-FD-21-033,Enhancing Innovations in Advanced Manufacturing Technologies for Vaccines against Influenza and Emerging Infectious Diseases,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-21-033.html